finding_id,evaluator(s),merged_from_ids,artefact,engagement_type,doc_type,section_ref,severity,category,title,evidence_observation,evidence_expected,framework_refs,recommendation,effort,owner_hint,confidence,theme
lifecycle-purpleteam-004,engagement-lifecycle-review,,inputs/Engagements/3. Purple Teaming/docs/Purple_Teaming_Process_v0.1.docx,cross-cutting,engagement-sop,Engagement Type-Specific notes / Physical & Social engagements,medium,completeness-gap,"Physical & Social close-out attendee list missing (Facilities, Local CISO, Physical Security)","Physical & Social engagement subsection describes detection-vs-action map against badge logs / CCTV / intruder-detection alarms but does not list the additional attendees required (Local CISO, Local Facilities Manager, Physical Security).",Each Physical & Social close-out should explicitly add Local CISO and Local Facilities Manager as attendees — the same people who signed the Get-out-of-jail letter.,OSSTMM:OSSTMM §Physical Security — post-test review,"Add attendee list to Physical & Social subsection: Local CISO, Local Facilities Manager, Physical Security lead.",S,Red team lead,high,purple-team-closeout-residuals
tdora-purpleteam-001,tiber-dora-alignment,,inputs/Engagements/3. Purple Teaming/docs/Purple_Teaming_Process_v0.1.docx,cross-cutting,engagement-sop,overall,medium,completeness-gap,Doc never references TIBER-EU 360-degree feedback / DORA closure attestation,"Purple Teaming Process v0.1 describes the workshop, outputs and engagement-type specific notes but never names the TIBER-EU 360-degree feedback session, DORA closure attestation, Control Team or Threat Intelligence Provider — even though Exercises_Process v1.6 §Purple Team Close-Out routes TLPT-mode Exercises here.","When the Exercise being closed out is a TLPT, the close-out is the TIBER-EU 360-degree feedback session and additional attestation artefacts are required (replay walkthrough, test report with ATT&CK coverage, joint attestation signed by RT Provider, TI Provider, Control Team and the financial entity). v1.0 should add a 'TLPT close-out' subsection.","TIBER-EU:TIBER-EU v2 §Closure — Replay, 360-degree feedback, attestation; DORA-TLPT:Regulation (EU) 2022/2554 Art.26-27 + RTS on TLPT — closure attestation (verify live text)","Add a 'TLPT close-out' subsection in v1.0 mirroring the Exercises_Process v1.6 Purple Team Close-Out wording, naming Control Team, TI Provider, RT Provider and the financial entity as joint attestation signatories.",M,Red team lead / Legal-Risk,medium,tiber-dora-regulatory-mapping
lifecycle-physoc-004,engagement-lifecycle-review,,inputs/Engagements/4. Physical & Social/docs/PhysicalSocial_Process_v1.3.docx,cross-cutting,engagement-sop,Execution / Escalation; Closure,medium,completeness-gap,Hardware-implant inventory and recovery / clean-up steps not specified,"Escalation mentions 'connecting a rogue device to exposed ethernet ports, dropping rubber duckies or installing any other type of implants', but neither Closure nor a dedicated subsection describes implant inventory, retrieval, or sanitisation.","Closure should require a hardware-implant register (asset, location dropped, retrieval status) and a retrieval / sanitisation step to prevent abandoned implants becoming a real attacker's foothold.",OSSTMM:OSSTMM §Physical Security — clean-up; PTES:PTES Post Exploitation — clean-up,"Add a 'Implant Inventory & Recovery' subsection to Closure (or Execution) — register every dropped item, who is to retrieve it, and confirmation when recovered.",S,Red team lead,high,naming-acronym-drift
lifecycle-physoc-008,engagement-lifecycle-review,,inputs/Engagements/4. Physical & Social/docs/PhysicalSocial_Process_v1.3.docx,cross-cutting,engagement-sop,Closure,medium,completeness-gap,OFIs and lessons-learned not explicitly required in Closure for Physical Pentest,"Closure narrates the report contents (recon, exploit, escalation, vulnerabilities, missing controls) but does not require an OFI block or a lessons-learned capture step — unlike Operations / Exercises / Threat Scenarios SOPs.",Add OFIs (Red Team and Blue Team) and a lessons-learned capture step for consistency with the other SOPs.,PTES:PTES Reporting — improvements / lessons learned,Add OFI + lessons-learned to Closure with consistent wording.,S,Red team lead,high,naming-acronym-drift
lifecycle-physoc-005,engagement-lifecycle-review,,inputs/Engagements/4. Physical & Social/docs/PhysicalSocial_Process_v1.3.docx,cross-cutting,engagement-sop,Planning / Weaponization,medium,missing-control,Data handling rules absent for Physical & Social engagement,"No 'Data Handling' equivalent to Operations_Process v1.5 §Data Handling — yet physical pentests can incidentally capture badge data, CCTV recordings, employee personal data via social engineering, and sock-puppet account material.","Add a 'Data Handling' subsection covering: (a) what to do if employees' personal data is captured, (b) handling of cloned-card data, (c) destruction of social-engineering pretext materials, (d) sock-puppet account decommissioning.",PTES:PTES Pre-engagement — Handling of Sensitive Information; DORA:DORA general — data protection during testing (verify clause),"Lift the Data Handling pattern from Operations_Process v1.5 and tailor for physical/social context (cloned cards, employee PII, sock-puppet account hygiene).",M,Red team lead / Legal-Risk,high,physical-scope-completeness
tdora-physoc-003,tiber-dora-alignment,,inputs/Engagements/4. Physical & Social/docs/PhysicalSocial_Process_v1.3.docx,cross-cutting,engagement-sop,Planning / Weaponization (Sock Puppet accounts) / Execution,medium,completeness-gap,GDPR-grade data-protection rules absent for physical / social engineering captures,Doc references Sock Puppet accounts and social-engineering captures (interacting with employees) but has no GDPR / data-protection treatment of the personal data inevitably gathered.,DORA cross-references GDPR for personal data processed during testing; the SOP should reference GDPR Art.6/9 legal basis and document a retention / deletion policy for sock-puppet artefacts.,OTHER:GDPR Art.6 / Art.9 (general) — legal basis (verify); DORA:DORA general — interplay with GDPR (verify),"Add a Data Handling subsection covering personal-data captures, sock-puppet account hygiene, badge-clone data destruction and retention. Verify clause references against the live regulation.",M,Legal-Risk / Red team lead,low,apts-tlpt-attestation
lifecycle-physocq-002,engagement-lifecycle-review,,inputs/Engagements/4. Physical & Social/docs/PhysicalSocial_Questionnaire_Process_v1.2.docx,cross-cutting,engagement-sop,Questionnaire / introduction,medium,ambiguity,Discrepancy between this doc and PhysicalSocial_Process v1.3 on Questionnaire periodicity,"This doc says 'For offices marked as critical, the questionnaires will be sent, maximum, every twelve (12) months. For non-critical locations, they will be sent every thirty-six (36) months.' PhysicalSocial_Process v1.3 says 'the Questionnaire will be sent based on a base frequency (Fb) of 1 year, that will be adjusted with the maturity level of the location: the lower the maturity, the less spaced the Questionnaire will be sent.'",The two docs should describe the same cadence in the same formula. Reconcile or have one defer to the other as authoritative.,OTHER:Internal corpus consistency,Pick one doc as authoritative on Questionnaire cadence (the Questionnaire SOP is the natural home) and have the other reference it; align formulas.,S,Red team lead,high,physical-scope-completeness
lifecycle-physocq-003,engagement-lifecycle-review,,inputs/Engagements/4. Physical & Social/docs/PhysicalSocial_Questionnaire_Process_v1.2.docx,cross-cutting,engagement-sop,Questionnaire (overall),medium,completeness-gap,"No data handling rules for Questionnaire responses (which include photos, floor plans, CCTV info)","Doc requests evidence including 'a photo of the door with the access control mechanism', 'pictures of the power equipment', 'pictures of alarm devices and panels', 'sample reports or screenshots' — yet there is no instruction on how these responses (which constitute sensitive physical-security intelligence) are stored, who has access, or retention.","A 'Response Handling & Storage' subsection specifying encryption-at-rest, access control list, retention period and destruction policy for completed Questionnaires.",PTES:PTES Pre-engagement — Handling of Sensitive Information; DORA:DORA general — protection of confidential information collected during testing (verify),"Add a Response Handling subsection specifying storage location, access (least-privilege), retention and destruction.",S,Red team lead / Legal-Risk,high,naming-acronym-drift
lifecycle-rtdeckv10-002,engagement-lifecycle-review,,inputs/Methodology/RedTeaming_v1.0.pptx,cross-cutting,methodology,overall,medium,completeness-gap,"Stakeholder deck does not reflect v0.8 methodology — out of date on engagement-type taxonomy, codename theme, Purple Team close-out, OFIs","Deck (Slides 2-8) shows Red Teaming agenda (What is / Importance / Requirements / Teams / Leg-ups), Attack Phases, C2. It does not mention: the five engagement-type taxonomy (Threat Scenarios / Operations / Exercises / Purple Teaming / Physical & Social), codename theme convention, Purple Team close-out as mandatory phase, OFIs, threat-hunt handover.",Same as v0.4 deck — refresh to track RedTeam_Methodology v0.8.,OTHER:Internal corpus consistency,Coordinated refresh once methodology v0.9+ is stable; pick a single canonical deck (see -001).,M,Red team lead,high,purple-team-closeout-residuals
tdora-rtdeckv10-001,tiber-dora-alignment,,inputs/Methodology/RedTeaming_v1.0.pptx,cross-cutting,methodology,overall,medium,completeness-gap,Stakeholder deck v1.0 never mentions TIBER-EU or DORA TLPT (same gap as v0.4),"No mention of TIBER-EU, TLPT, DORA, Control Team, TI Provider, attestation or lead overseer anywhere in the deck.",Add a stakeholder-facing slide framing TIBER-EU / DORA TLPT alignment so audit-conversation expectations are set correctly.,TIBER-EU:TIBER-EU v2 — overview; DORA-TLPT:DORA Art.26 (general) — TLPT scope,Same as for v0.4 deck — add a stakeholder TIBER-EU / DORA TLPT framing slide when the deck is refreshed.,M,Red team lead / Legal-Risk,medium,tiber-dora-regulatory-mapping
lifecycle-bh-002,engagement-lifecycle-review,,inputs/Methodology/docs/BloodHoundEnterprise_Process_v0.5.docx,cross-cutting,methodology,Data Collection / 'SOC team should be warned of the recurrent collection',medium,ambiguity,"SOC notification is one-line — no contact, channel, frequency or escalation defined","'This data collection will collect all available information and SOC team should be warned of the recurrent collection, and disregard any alerts during this time coming from the SharpHound Enterprise Server.'","Should specify: (a) who in SOC owns the suppression, (b) by what channel (deconfliction ticket / email), (c) how often the suppression is reconfirmed, (d) what happens if collection times or hosts change.",PTES:PTES Pre-engagement — deconfliction,"Expand the SOC notification line into a small deconfliction subsection (owner, channel, refresh cadence, change-management).",S,Red team lead / SOC,high,naming-acronym-drift
tdora-bh-002,tiber-dora-alignment,,inputs/Methodology/docs/BloodHoundEnterprise_Process_v0.5.docx,cross-cutting,methodology,Data Collection,medium,ambiguity,Continuous AD enumeration against prod could intersect DORA risk-management-of-testing — relationship not stated,BloodHound continuously enumerates Active Directory in production via a service account with read on Deleted Objects and optional Local Admin on all domain-joined systems. Doc treats this as routine tooling.,"DORA Chapter IV (Art.24 general) requires risk management of operational-resilience testing. Continuous prod enumeration arguably sits at the boundary — should at minimum be cited in the team's testing risk register with a control-set (least-privilege service account, encrypted transport, suppression of alerts, monitored agent host).",DORA:DORA Art.24 (general) — risk management of operational resilience testing,Add a 'Risk Management' note in v0.6 referencing the team risk register entry for continuous BloodHound collection. Verify clause against live DORA text.,S,Red team lead / Legal-Risk,low,naming-acronym-drift
tdora-rtmeth-004,tiber-dora-alignment,,inputs/Methodology/docs/RedTeam_Methodology_v0.8.docx,cross-cutting,methodology,OPSEC / Data Handling,medium,completeness-gap,Data-handling rules present but no GDPR / DORA anchoring,"Data Handling lists PIA, medical, justice, regulated data categories and a halt-on-encounter process but does not link to GDPR legal basis or DORA risk-management-of-testing.",Anchor sensitive-data handling to GDPR Art.6/9 and DORA Chapter IV operational-resilience-testing risk-management for audit defensibility.,DORA:DORA Art.6/24 (general) — risk management + critical functions; OTHER:GDPR Art.6/9 (general) — legal basis (verify),Add a one-line reference to GDPR / DORA in Data Handling.,S,Legal-Risk,low,tiber-dora-regulatory-mapping
lifecycle-rtmeth-005,engagement-lifecycle-review+tiber-dora-alignment,lifecycle-rtmeth-005; tdora-rtmeth-003,inputs/Methodology/docs/RedTeam_Methodology_v0.8.docx,cross-cutting,methodology,Scoping,medium,completeness-gap,Scoping section is very short — checklist-style rather than methodology-grade,"Scoping reads: 'Can the Red Team perform these actions / If not, consider the team's ability to emulate ... / Access to zero-days? / If not, consider the use of white cards (leg ups) ... / Does the team have the required skills/knowledge / Scope the engagement with same staff and time parameters.'","A methodology Scoping section should cover: critical/important functions identification, engagement objectives, in-scope/out-of-scope cyber and physical assets, time window, leg-up policy, blast-radius controls. Currently it is a short capability self-check.",PTES:PTES Pre-engagement — scope definition; TIBER-EU:TIBER-EU v2 §Preparation — scoping; DORA:DORA Art.6 (general) — critical or important functions; TIBER-EU:TIBER-EU v2 §Preparation — scoping critical functions,Expand Scoping into a fuller section with the dimensions above; keep the capability self-check as a sub-bullet.,M,Red team lead,high,naming-acronym-drift
lifecycle-rtdeckv04-001,engagement-lifecycle-review,,inputs/Methodology/docs/RedTeaming_v0.4.pptx,cross-cutting,methodology,overall,medium,completeness-gap,"Stakeholder deck does not reflect v0.8 methodology — out of date on engagement-type taxonomy, codename theme, Purple Team close-out, OFIs","Deck (Slides 2-8) shows Red Teaming agenda (What is / Importance / Requirements / Teams / Leg-ups), Scheduling, Attack Phases, C2. It does not mention: the five engagement-type taxonomy (Threat Scenarios / Operations / Exercises / Purple Teaming / Physical & Social), codename theme convention, Purple Team close-out as mandatory phase, OFIs, threat-hunt handover.",Refresh the deck to track RedTeam_Methodology v0.8 (Tier 1.1 work).,OTHER:Internal corpus consistency,Coordinated refresh once methodology v0.9+ is stable.,M,Red team lead,high,purple-team-closeout-residuals
tdora-rtdeckv04-001,tiber-dora-alignment,,inputs/Methodology/docs/RedTeaming_v0.4.pptx,cross-cutting,methodology,overall,medium,completeness-gap,Stakeholder deck never mentions TIBER-EU or DORA TLPT despite being a Red Teaming overview,"Deck slides cover Red Teaming concept, requirements, teams, scheduling, attack phases and C2. There is no mention of TIBER-EU, TLPT, DORA, Control Team, TI Provider, attestation or lead overseer.","For an audience including stakeholders at a DORA-regulated entity, a one-slide framing of how Red Team engagements relate to TIBER-EU / DORA TLPT — and which engagements are TLPT-eligible — sets expectations correctly.",TIBER-EU:TIBER-EU v2 — overview; DORA-TLPT:DORA Art.26 (general) — TLPT scope,Add a stakeholder-friendly 'How this relates to TIBER-EU / DORA TLPT' slide that names regulator-mandated actors and the closure attestation. Verify wording against live regulation text.,M,Red team lead / Legal-Risk,medium,tiber-dora-regulatory-mapping
lifecycle-research-002,engagement-lifecycle-review,,inputs/Methodology/docs/Research_Methodology_v0.6.docx,cross-cutting,methodology,Feedback & Purple Teaming,medium,completeness-gap,Purple Teaming step is a single short paragraph — no link to Purple_Teaming_Process v0.1,"'Finally, the RT Engagement should follow the process established with the Purple Team to identify Detections and Controls gaps.'","Cross-link to Purple_Teaming_Process v0.1 and describe how research outputs (tools, PoCs) feed the close-out walkthrough.",OTHER:Purple_Teaming_Process v0.1,Cross-link to Purple_Teaming_Process v0.1 and describe the research-tool feedback loop into close-out.,S,Red team lead,high,purple-team-closeout-residuals
tdora-research-002,tiber-dora-alignment,,inputs/Methodology/docs/Research_Methodology_v0.6.docx,cross-cutting,methodology,Capability Development / Operational state,medium,missing-control,Operational tooling used against prod has no documented testing-risk-management linkage to DORA,Capability Development describes Operational tools that 'has been successfully used during operations' but does not link tool-deployment to the team risk register or DORA Chapter IV operational-resilience testing risk controls.,Add a one-line note that all Operational tools are entered in the team risk register and subject to DORA risk-management-of-testing controls.,DORA:DORA Art.24 (general) — risk management of operational resilience testing,Add the cross-reference; verify clause against live DORA.,S,Red team lead / Legal-Risk,low,tiber-dora-regulatory-mapping
lifecycle-research-003,engagement-lifecycle-review,,inputs/Methodology/docs/Research_Methodology_v0.6.docx,cross-cutting,methodology,Capability Development,medium,missing-control,Capability development has no security review / approval gate before tool moves to 'Operational',"'New capabilities developed must be added on the RT Tools Repository, with clear documentation and usage guidance, linked research references, OPSEC and detection notes. Additionally, they must be attributed a lifecycle state: Experimental / Operational / Deprecated / Retired'.","A peer-review / approval gate between Experimental and Operational (named approver, criteria, audit trail) is a basic safety control for offensive tooling that will be used against production.",PTES:PTES Pre-engagement — Capability validation,"Add an Experimental -> Operational approval gate: peer review, lab-validation requirement, OPSEC sign-off, named approver.",M,Red team lead,high,authorization-roe-killswitch
coherence-methodology-bloodhoundenterprise-002,corpus-coherence,,workdir/methodology-docs-bloodhoundenterprise-process-v0-5-docx,cross-cutting,methodology,Access Management,medium,completeness-gap,AET still has no charter / RACI doc — 'fully managed by AET' remains an orphan-actor reference,"methodology-bloodhoundenterprise v0.5 line 134 -> 'Access to Euronext BloodHound tenant is fully managed by AET' || curated vocab expands AET = 'Assessment & Exploitation Team' but no methodology section or SOP describes the team's remit, scope, RACI or interface with the Red Team. AET appears in orphan_actors of the curated vocab.","Either (a) add an 'AET — Assessment & Exploitation Team' subsection to RedTeam_Methodology v0.8 with charter, scope, and RACI vs Red Team, or (b) collapse the role onto Red Team Lead in BloodHoundEnterprise_Process and remove the AET reference.",OTHER:internal corpus consistency,Carry-over from prior run finding -009. Same fix as previously recommended; still open.,M,Red team lead + AET lead,high,general-process-quality
coherence-resources-diagrams-soc-rt-communications-003,corpus-coherence,,workdir/resources-diagrams-soc-rt-communications-drawio,cross-cutting,diagram,swimlanes,medium,completeness-gap,"Orphan actors persist in SOC-RT comms diagram: CSIRT, L1/L2/L3, Pentest/Assessment","resources-diagrams-soc-rt-communications swimlanes -> 'CSIRT', 'L1', 'L2', 'L3', 'Pentest/Assessment', 'Red Team' || No engagement SOP nor the methodology describes the engagement-time role or interface of CSIRT, the SOC tiers, or Pentest/Assessment. orphan_actors entries in curated vocab remain unresolved.","Add an 'External actors and SOC interface' subsection to RedTeam_Methodology v0.8 (or to each SOP's Deconfliction section) that names CSIRT, the SOC L1/L2/L3 tier model, and the Pentest/Assessment team, and describes their engagement-time interface with the Red Team (notification flow, escalation path, deconfliction handshake).",OTHER:internal corpus consistency,Carry-over from prior run finding -011. Tier 3 work; coordinate with SOC manager.,M,Red team lead + SOC manager,high,general-process-quality
lifecycle-aptsdossier-003,engagement-lifecycle-review,,inputs/APTs/APTs_private.pptx,cross-cutting,research-process,Slides 9-11 (codenames),low,naming-convention,Operation codenames present but theme convention not visible in the dossier,"'Phantom Signature Operation', 'Crimson Breach Operation', 'Fight Club Operation' — only 'Fight Club' clearly matches the fictional-character/work theme mandated for Operations.","Per RedTeam_Methodology v0.8 and Operations_Process v1.5, Operation codenames should follow the team theme of known fictional/historical characters (movies, TV, books). The codename register should record the chosen character; the dossier should not need to restate the convention but should not display contradictory codenames.",OTHER:Euronext team naming convention (per RedTeam_Methodology v0.8 §Codename),"Add a footnote stating which fictional reference each codename derives from, or migrate any non-conforming names in the register.",S,Red team lead,medium,naming-acronym-drift
lifecycle-aptsdossier-004,engagement-lifecycle-review,,inputs/APTs/APTs_private.pptx,cross-cutting,research-process,Slides 6-7 (ATT&CK matrices),low,internal-inconsistency,APT38 legend reuses APT28 wording (copy-paste artefact),Slide 7 (APT38 Lazarus Group) shows 'Legend: ----- used by APT28; ----- used by a campaign attributed to APT28; ----- used by APT28 and used by a campaign attributed to APT28' rather than referring to APT38.,Slide-level legends should reference the slide's own actor.,MITRE-ATTACK:ATT&CK Groups: APT38 vs APT28,Fix the legend wording on slide 7 and audit the other actor slides for similar copy-paste errors.,S,Threat intel,high,general-process-quality
lifecycle-threatscenarios-002,engagement-lifecycle-review,,inputs/Engagements/0. Threat Scenarios/docs/ThreatScenarios_Process_v1.6.docx,threat-scenario,engagement-sop,Planning / CODENAME,low,naming-convention,Codename theme exemption correctly documented for Threat Scenarios,"'For Threat Scenarios, team theme (character names) does not apply.'",Consistent with schemas/engagement-types.md (Threat Scenarios may use a different convention). Note matches RedTeam_Methodology v0.8 Codename section.,OTHER:schemas/engagement-types.md §Threat Scenario / RedTeam_Methodology v0.8 §Codename,No change. Keep wording cross-referenced between methodology and the SOP.,S,Red team lead,high,general-process-quality
lifecycle-threatscenarios-007,engagement-lifecycle-review,,inputs/Engagements/0. Threat Scenarios/docs/ThreatScenarios_Process_v1.6.docx,threat-scenario,engagement-sop,Process Documents,low,internal-inconsistency,"Cross-references mention only Purple_Teaming_Process; siblings (Operations, Exercises, Methodology) not listed",'Process Documents' lists only 'Purple_Teaming_Process_v0.1.docx'.,"List all sibling process docs at their pinned versions for traceability (Operations v1.5, Exercises v1.6, PhysicalSocial v1.3, RedTeam_Methodology v0.8) — methodology and Purple Teaming SOP already do this.",OTHER:Internal corpus consistency,Expand the Process Documents list to include all sibling SOPs and the methodology.,S,Red team lead,high,general-process-quality
lifecycle-operations-002,engagement-lifecycle-review,,inputs/Engagements/1. Operations/docs/Operations_Process_v1.5.docx,operation,engagement-sop,Research & Preparation / CODENAME,low,naming-convention,Operation codename theme convention correctly required (fictional/historical character),"'The codename must follow the team theme: known fictional/historical character (movies, books, TV Series, ...)'",Consistent with methodology and engagement-types reference.,OTHER:schemas/engagement-types.md §Operation; RedTeam_Methodology v0.8 §Codename,No change.,S,Red team lead,high,naming-acronym-drift
lifecycle-operations-006,engagement-lifecycle-review,,inputs/Engagements/1. Operations/docs/Operations_Process_v1.5.docx,operation,engagement-sop,Process Documents,low,internal-inconsistency,Process Documents list lists only Purple_Teaming_Process — siblings not pinned,Only 'Purple_Teaming_Process_v0.1.docx' is listed.,Pin sibling SOPs and methodology at current versions for traceability.,OTHER:Internal corpus consistency,"Add ThreatScenarios_Process v1.6, Exercises_Process v1.6, PhysicalSocial_Process v1.3, RedTeam_Methodology v0.8 to the Process Documents list.",S,Red team lead,high,physical-scope-completeness
lifecycle-exercises-003,engagement-lifecycle-review,,inputs/Engagements/2. Exercises/docs/Exercises_Process_v1.6.docx,exercise,engagement-sop,Phases Description / Initiation / CODENAME,low,naming-convention,Exercise codename theme convention correctly required,"'The codename must follow the team theme: known fictional/historical character (movies, books, TV Series, ...)'",Consistent with methodology and engagement-types reference.,OTHER:schemas/engagement-types.md §Exercise; RedTeam_Methodology v0.8 §Codename,No change.,S,Red team lead,high,naming-acronym-drift
lifecycle-exercises-007,engagement-lifecycle-review,,inputs/Engagements/2. Exercises/docs/Exercises_Process_v1.6.docx,exercise,engagement-sop,Process Documents,low,internal-inconsistency,Process Documents list lists only Purple_Teaming_Process,Only 'Purple_Teaming_Process_v0.1.docx' is listed.,Pin sibling SOPs and methodology at current versions for traceability.,OTHER:Internal corpus consistency,"Add ThreatScenarios_Process v1.6, Operations_Process v1.5, PhysicalSocial_Process v1.3, RedTeam_Methodology v0.8 to the list.",S,Red team lead,high,physical-scope-completeness
lifecycle-purpleteam-006,engagement-lifecycle-review,,inputs/Engagements/3. Purple Teaming/docs/Purple_Teaming_Process_v0.1.docx,cross-cutting,engagement-sop,Section heading 'Engagement Type-Specifi notes',low,naming-convention,Typo: 'Engagement Type-Specifi notes' (missing final 'c'),Heading reads 'Engagement Type-Specifi notes'.,'Engagement Type-Specific notes'.,OTHER:Editorial,Fix typo before v1.0.,S,Red team lead,high,naming-acronym-drift
lifecycle-purpleteam-007,engagement-lifecycle-review,,inputs/Engagements/3. Purple Teaming/docs/Purple_Teaming_Process_v0.1.docx,cross-cutting,engagement-sop,Phases / Workshop / 'Did the process fail.',low,naming-convention,Punctuation drift in Workshop questions,'... answer the following questions for each failed detection opportunity: where there logs? Is there a use case to trigger? Is there a process for such use case? Did the process fail.',"'Were there logs? Is there a use case to trigger? Is there a process for such use case? Did the process fail?' (final question mark, and 'where' -> 'were').",OTHER:Editorial,Editorial pass before v1.0.,S,Red team lead,high,naming-acronym-drift
lifecycle-purpleteam-008,engagement-lifecycle-review,,inputs/Engagements/3. Purple Teaming/docs/Purple_Teaming_Process_v0.1.docx,cross-cutting,engagement-sop,Process Documents,low,completeness-gap,Filename of Threat Scenarios SOP is missing leading 'v' (e.g. 'ThreatScenarios_Process_1.6.docx'),'ThreatScenarios_Process_1.6.docx' — should be 'ThreatScenarios_Process_v1.6.docx' for consistency with the rest of the corpus naming pattern.,Filenames follow the '<Name>_v<X.Y>.docx' pattern.,OTHER:Internal naming convention,Add the 'v' prefix to the version number for consistency.,S,Red team lead,high,general-process-quality
tdora-purpleteam-002,tiber-dora-alignment,,inputs/Engagements/3. Purple Teaming/docs/Purple_Teaming_Process_v0.1.docx,cross-cutting,engagement-sop,Phases / Outputs & Tracking,low,completeness-gap,Outputs list does not include the test summary report / attestation that DORA TLPT requires,"Outputs & Tracking lists detection-vs-action map, gap register, hunt-hypothesis list, OFI register and remediation backlog. For TLPT engagements, the DORA-mandated test summary report and joint attestation are not in the output set.","TLPT outputs include the test summary report, remediation plan, attestation and knowledge sharing artefact (TIBER-EU v2 §Closure).",TIBER-EU:TIBER-EU v2 §Closure — closure artefacts; DORA-TLPT:Regulation (EU) 2022/2554 Art.26 (general) — test summary and attestation,"Extend Outputs & Tracking in v1.0 with a 'When run as TLPT' addendum listing test summary, attestation and overseer-notification artefacts.",S,Red team lead / Legal-Risk,low,tiber-dora-regulatory-mapping
lifecycle-purpleteam-005,engagement-lifecycle-review,,inputs/Engagements/3. Purple Teaming/docs/Purple_Teaming_Process_v0.1.docx,cross-cutting,engagement-sop,Phases / Workshop,low,completeness-gap,Workshop step 'Group findings by control family' lists examples but no canonical list,"'Group findings by control family (Active Directory, EDR, network monitoring, identity, physical, ...) and assign tentative remediation owners.'",A canonical control-family list (or pointer to one) prevents drift across engagements.,MITRE-ATTACK:ATT&CK Mitigations (M1xxx) — control family taxonomy,Either reference ATT&CK Mitigation taxonomy or list the canonical Euronext control families in an Annex.,M,Red team lead / Purple team,medium,naming-acronym-drift
lifecycle-physoc-006,engagement-lifecycle-review,,inputs/Engagements/4. Physical & Social/docs/PhysicalSocial_Process_v1.3.docx,cross-cutting,engagement-sop,Physical Pentest / Figure 1 caption,low,internal-inconsistency,Figure 1 captioned 'Threat Scenarios Phases' in a Physical Pentest doc — copy-paste from Threat Scenarios SOP,'Figure 1 - Threat Scenarios Phases','Figure 1 - Physical Pentest Phases' (or similar).,OTHER:Internal corpus consistency,Fix the figure caption.,S,Red team lead,high,general-process-quality
lifecycle-physoc-007,engagement-lifecycle-review,,inputs/Engagements/4. Physical & Social/docs/PhysicalSocial_Process_v1.3.docx,cross-cutting,engagement-sop,Process Documents,low,internal-inconsistency,Process Documents list lists only Purple_Teaming_Process,Only 'Purple_Teaming_Process_v0.1.docx' is listed.,"Pin sibling SOPs and methodology at current versions for traceability, in particular PhysicalSocial_Questionnaire_Process v1.2 which is its sibling.",OTHER:Internal corpus consistency,"Add PhysicalSocial_Questionnaire_Process v1.2, RedTeam_Methodology v0.8 and sibling SOPs to the Process Documents list.",S,Red team lead,high,physical-scope-completeness
lifecycle-physocq-004,engagement-lifecycle-review,,inputs/Engagements/4. Physical & Social/docs/PhysicalSocial_Questionnaire_Process_v1.2.docx,cross-cutting,engagement-sop,Questionnaire (formulas),low,missing-evidence,Vulnerability Score / Maturity formulas referenced but not rendered (likely lost in docx -> md ingest),"'The Vulnerability Score provides a normalized value ... Ni is the number of vulnerabilities per Severity level ...' is followed by no formula. Same for Controls Coverage, Maturity, and the frequency formula.",Equations should be rendered as text (e.g. LaTeX-style) or anchored to a defined Excel-or-table-of-values so the document is self-sufficient without reference images.,OTHER:Internal corpus consistency,Render the formulas as plain text or table to survive PDF/markdown conversion; alternatively cross-reference a worked example.,S,Red team lead,medium,physical-scope-completeness
lifecycle-physocq-005,engagement-lifecycle-review,,inputs/Engagements/4. Physical & Social/docs/PhysicalSocial_Questionnaire_Process_v1.2.docx,cross-cutting,engagement-sop,Versioning,low,naming-convention,Empty rows in Versioning table,Versioning table has two trailing empty rows.,Either remove blank rows or fill them with placeholders explaining the intent.,OTHER:Editorial,Editorial — trim the blank rows.,S,Red team lead,high,general-process-quality
tdora-physocq-002,tiber-dora-alignment,,inputs/Engagements/4. Physical & Social/docs/PhysicalSocial_Questionnaire_Process_v1.2.docx,cross-cutting,engagement-sop,Questionnaire / 'depending on their critically according to the company Configuration Management Database (CMDB)',low,ambiguity,Criticality assignment hangs off the CMDB without defining the field or owner,'The Physical Questionnaire is periodically sent to all offices depending on their critically according to the company Configuration Management Database (CMDB).',"Name the CMDB field used for criticality, the team responsible for maintaining it, and the refresh frequency — DORA's notion of 'critical or important functions' (Art.6) feeds into TLPT scoping, so this mapping matters for audit trail.",DORA:DORA Art.6 (general) — critical or important functions,"Add a line naming the CMDB criticality field / owner, and ideally cross-reference the Euronext 'critical or important functions' register.",S,Red team lead / Legal-Risk,low,naming-acronym-drift
lifecycle-rtdeckv10-003,engagement-lifecycle-review,,inputs/Methodology/RedTeaming_v1.0.pptx,cross-cutting,methodology,Slide 11 (Teams Composition & Duties),low,internal-inconsistency,"Named individuals (Renato Cruz, José Barbosa) pinned in stakeholder deck — staffing churn risk",'Red Team (RT): Renato Cruz and José Barbosa' on slide 11.,Generalise to roles or replace with link to maintained team page.,OTHER:Internal corpus consistency,Generalise to roles or link.,S,Red team lead,high,stakeholder-deck-twins
